"Data Source","World Development Indicators",

"Last Updated Date","2023-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Belize","BLZ","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","10800","15215.7","40025.7","483172.7","433044.3","443591.8","356698.7","406719.3","440246.3","798895.8","3644268.5","3925208","6438698.7","8264906.5","8659180.3","17559169.8","15892263.5","15784870.7","16731972.9","17331537.7","18282299.8","16379511.1","16154243.5","18094735.5","24833387.2","36609275","40283057.9","39688552.9","45962970.7","46939818.2","77198137.4","96965308.1","188649532","153189839.4","329311316.7","229122170.9","138243976","650041618.9","147402942","125508607.8","127141264.5","131307977.4","154718507.9","135416858.8","92091582.2","97912772","102376014.2","104442717.6","113766027","104195374.1","79592105.7","618311418.7","",
"Bermuda","BMU","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","34452863.1","35850674.5","51550641.4","64382424.4","82147351.3","92339229.8","143579052.9","174052027.2","377418605","297906555.1","370808624.2","369926886","548732752.7","466225077.2","541710030.4","370900881.1","256215781.4","228810275","378472363.3","298406779.5","391909648.5","336466925.9","294535505.8","343359743.6","354356329.5","378148778","418851090.4","481609414","439103453","424413707.9","641452247.7","550623651.9","482993543.6","435249407.8","521601537.5","532656988.8","444548915.5","742974995.6","950761592.2","584773573.4","655737540.5","446645060.4","650667090.6","549975195.8","983884600","993696828.8","775631452.1","979347346.2","1007191963.7","1079446926.5","1175621100.7","1470821812.1","",
"Brazil","BRA","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","767217413.9","878860792.8","1203542362.9","1922815572.8","3424374350","4356174773.3","4323130572.8","5785021352.5","8462997331.9","11363528937.1","14811682953.1","17928641539.9","19272394288.8","13366966198.5","13771901096.1","11531349371.4","11681348741.1","12023463619.6","16914248968.6","14184539579.8","8223826890.2","8396020490.2","8708489919","11296813206.1","15999570619.1","21634576207.2","25280051261.9","38614181184.2","51426174583.6","68188712489.3","58586704284.1","50070244251.4","52046584757.5","58350696521.4","53764235117.5","62905830413.2","62246189477.7","55009017279.4","56543249819.1","44526664671.6","45881467061.8","59070172414.9","45540111884","82014387865.7","62250211467","89845404198.7","117495335288.6","95434116476.6","95526809336.2","151827290977.8","130057163648","155525047115.8","",
"Barbados","BRB","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","","","","","","","","","","","","2359.7","3312.8","6414.8","32808.6","28547.2","153340.4","515456.5","1312033.6","6518755.4","5209460.3","7242215.6","5892385.8","7124086","7528089.8","9802440.4","6921506.6","7202999.1","9175546.3","7346713.7","7036682.6","6471943.8","6611786.9","7339387.3","12186115.5","7100275","10663858.7","32134603.7","81572569.6","75516276.7","87491325.5","85420691.9","139593041.4","81020805.9","82905104.9","128945853.4","110587796.2","82493712.2","87256066.6","61559913.6","57861851.8","118439762.9","",
"Botswana","BWA","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","632500","946473","1637472.8","2457609.6","3280410","7063903.9","4286867.7","5881631.1","8187951.6","9275969.5","14139666.2","9753163.6","14495331.6","25131098","32574688.8","47553087.6","45484782.5","72914980.4","76350009.5","72627950.2","105284120.1","88356864.5","96672848.7","89295579.2","91895120.2","91396808.9","151129997.5","103180002.3","76260324.4","74028575.9","68697440.2","51929578.6","60680413.7","50377926.5","48597143.6","53543076.4","56339044.3","47222233","69678615.1","46701908.3","79549085.2","79404451.4","59247866.4","193276586.5","64773771.6","247954367.9","168635328.6","176311539.7","184971082","196924267.9","183240052.8","161888272.9","",
"Central African Republic","CAF","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","3131843.5","2332956.9","1818743.9","4832808.5","4852696.9","5852099.3","4321683.5","4328792.9","5248314.8","3754287.2","9990508.6","10797460","8639694.5","20832875.6","24723545.4","26234880","28409417","28060601.3","27012330.3","33578663.1","29117739","15108121.7","15496246.9","9241664.1","23152474.1","15681300","12915696.3","15593469.2","33247649.1","19050923.6","14636548.9","13540746.9","1172586.1","808564.7","10748052.1","6878445.1","71344027.9","89845392.7","26956856.8","31380646.1","3358435.9","1504811.4","4638830.8","6671256.3","12050715.1","17568691.7","25252855.6","39669908.7","27041602.1","30408407.3","16140297.4","17548063.5","",
"Canada","CAN","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
